epoch,chosen_cut1,chosen_cut2,estimated_j,estimated_dyn_cost
1,0,5,-1455661507.171158,0.0
1,0,5,-1455661507.171158,0.0
2,0,0,-5931408.109822734,0.0009765625
3,2,5,-2042566.7125416908,0.12619046890176833
4,1,3,-620222.2589876965,0.10915026813745499
5,3,4,-327130.5697691106,-0.007473905570805073
6,4,5,-1.25645982097305,-0.14153052242380848
7,0,2,-1.1305183143151567,-0.02420186826399329
8,1,4,-0.6070300624118892,0.22352949596410854
9,0,3,-0.47757753807819325,0.2425100718056665
10,3,4,-0.32083337600516565,0.10402568236087871
11,0,0,-0.33852951062901315,0.2902544746093261
12,1,3,-0.31107384001857724,0.14375048862505724
13,0,2,-0.26799944724842417,0.15833840740559987
14,4,5,-0.24627881968481197,0.0640973696198311
15,1,3,-0.1686484624860804,0.16457497687289657
16,0,4,-0.14655553756267536,0.36939058694957755
17,2,4,-0.13132327866591548,0.20877612308497212
18,3,5,-0.10468830068313129,0.2083064035198864
19,0,2,-0.08255865499067616,0.16393136026981794
20,1,3,-0.060858457538853494,0.17700991664728558
21,3,4,-0.05286058834796209,0.10110609172302802
22,0,0,-0.046775274552763646,0.2911042128904251
23,2,4,-0.013083359672281358,0.22529026767290178
24,4,5,-0.00034024644380992175,0.12269755782549632
25,1,3,0.00012318468264516103,0.18516671349694472
26,0,2,-0.00025819369692908767,0.17433639333813616
27,3,4,0.023291592026406294,0.10940824286758528
28,1,3,0.034664436701746126,0.18573366158013435
29,0,2,0.055416874306094044,0.18737465050424698
30,2,5,0.06414164615892298,0.3518784889995206
31,1,3,0.06419599629027034,0.19110325477295106
32,3,4,0.06901348521036876,0.11913628072028358
33,4,5,0.07683406565955031,0.12223369232667473
34,0,0,0.08063653706286611,0.29039017195410466
35,1,3,0.08708310858620416,0.1926475475963258
36,2,4,0.0949312852334705,0.2379628622307433
37,0,2,0.10549854437291112,0.19873777275158835
38,3,4,0.10744361265183716,0.12313274102139869
39,1,3,0.10946800501315634,0.19505236258056563
40,4,5,0.12532106380130603,0.13419639506324407
41,1,3,0.12649188500878367,0.19963706082349594
42,3,4,0.13179767678350646,0.12603676883097956
43,0,2,0.1366481575086,0.20509993454601172
44,1,3,0.1411479249659477,0.20160795794927655
45,2,4,0.15002762371944,0.25077832413442264
46,0,0,0.15318081317131604,0.2867905957119694
47,1,3,0.15705205229927532,0.20614715519620058
48,3,4,0.15733972457141954,0.1303775616774782
49,4,5,0.16108619745086605,0.14138026601605855
50,0,2,0.16279952523175678,0.2095097408532821
51,1,3,0.16708196583096874,0.20624815195449994
52,3,4,0.1735178007588714,0.13388683754918324
53,1,3,0.1774296616208997,0.2079698677990602
54,0,2,0.18420438733023875,0.2138806925515464
55,1,3,0.1872273095334491,0.21094556032020004
56,3,4,0.1874598374588166,0.1370167728507072
57,4,5,0.1898953085434429,0.14878303422141492
58,1,3,0.19518340622625643,0.21174886166588042
59,3,4,0.1985219338015126,0.1385462855311046
60,0,2,0.20238965494297767,0.2174061396981361
61,1,3,0.2026322420369221,0.21278442214073812
62,0,0,0.20497725123884192,0.2863191229012392
63,2,4,0.209792274168085,0.2687367289238114
64,1,3,0.21126508623208062,0.21489547845574217
65,3,4,0.21349310396519594,0.14142148410011274
66,4,5,0.2141675616319078,0.15487228147425036
67,2,3,0.21686213644220578,0.15313831604112896
68,0,2,0.21752623430955703,0.21834825348513237
69,3,4,0.22202442254249688,0.1427981116499777
70,1,3,0.2237245566555305,0.218053447617773
71,2,3,0.22892696328689238,0.15699909013128452
72,3,4,0.22992542370315086,0.14426380773091826
73,0,2,0.23041725904762772,0.21956457453054196
74,2,3,0.23513210382164657,0.15903493400014324
75,4,5,0.2353735848323592,0.16132970951327447
76,3,4,0.23682913034871095,0.1452724445847167
77,2,3,0.24103468734511654,0.16180271940799087
78,0,2,0.24061080048450229,0.21897379418582466
79,3,4,0.24312916215255242,0.14650732636798638
80,2,3,0.2463600967468084,0.16354415767744543
81,0,0,0.24488024336327646,0.287523296786099
82,3,4,0.2500596315180824,0.14865482938324728
83,0,2,0.2508782549444344,0.2200745763142487
84,2,3,0.25128548386406324,0.16507362111559062
85,4,5,0.2531305015694317,0.16612041218483137
86,3,4,0.2558021589591718,0.1497201343724036
87,1,3,0.25619485588286484,0.2313666558353416
88,2,3,0.2598833520152237,0.168586280408996
89,0,2,0.2593385608520614,0.21996868374347026
90,3,4,0.26064191748735727,0.15023506857576022
91,2,3,0.2641661405251673,0.17006527172416236
92,3,4,0.2666486350987126,0.15241181570903603
93,0,2,0.26783275144723845,0.22102952452795568
94,2,3,0.26843658027238837,0.17172017334348327
95,4,5,0.2686948325325587,0.17042343746218663
96,3,4,0.27153537401723804,0.1534827336604246
97,2,3,0.2723683379155259,0.17353437411385053
98,0,0,0.2747363508624114,0.2874401140313503
99,0,2,0.2748551558785592,0.2210155678877538
100,2,3,0.27643364131869513,0.17530910219607682
101,3,4,0.27684801406589843,0.15524505923115642
102,2,3,0.2800034124538715,0.1769364409182497
103,0,2,0.28167948353549777,0.22144188213752922
104,3,4,0.2817288107418864,0.1569211676896139
105,4,5,0.28222049017139067,0.1740220040332559
106,2,3,0.2834644273933187,0.17826082715999803
107,3,4,0.28569595834078454,0.15769203633456927
108,2,3,0.2867139898955102,0.1797281553723242
109,0,2,0.2879211425107773,0.221814316065438
110,2,3,0.2900425984868947,0.1812009029420936
111,3,4,0.2902392300781969,0.15927561381024147
112,2,3,0.29326311756300355,0.18276851584781512
113,0,2,0.2937783871701355,0.22226452988629145
114,3,4,0.2941537422371294,0.16045182330982602
115,4,5,0.29454682394595855,0.17752485475470417
116,2,3,0.2963168583245931,0.1840289583411828
117,3,4,0.2977088190948941,0.16127536148830002
118,0,0,0.2989654611826005,0.2875215978662684
119,2,3,0.29906771871743676,0.1852016788855983
120,0,2,0.29920517973624516,0.222671845535107
121,3,4,0.3018321780887775,0.16287750368592108
122,2,3,0.3015481654402592,0.1860295844282598
123,2,3,0.3042515963430322,0.18737042433968645
124,0,2,0.30447397201918786,0.22328629378392392
