cut1,cut2,acc_cost,privacy_cost,comp_cost_client,static_cost
0,0,0.013425925925925952,0.0,1.0,0.2533564814814815
0,1,0.013425925925925952,0.45634357132050596,0.7567684813653548,0.3066344946529467
0,2,0.012499999999999956,0.4572672404263183,0.48031721022256046,0.23752111266221967
0,3,0.01157407407407407,0.479504098943192,0.21523227620840396,0.1765776123064175
0,4,0.01157407407407407,0.4367366933720732,0.007787364269081724,0.11402453292880725
0,5,0.015740740740740722,0.41051967327622296,0.0,0.10656510350424092
1,1,0.014351851851851838,0.0,0.9964658163911128,0.25270441706074115
1,2,0.0092592592592593,0.4631395589197025,0.6645841905218628,0.28424575217520615
1,3,0.014814814814814836,0.47706117814498084,0.39049464833164377,0.22059266032285985
1,4,0.013425925925925952,0.44909900756343457,0.19126722311385108,0.16344803915080292
1,5,0.010648148148148184,0.4707150786881758,0.17605367218840204,0.1643542247561815
2,2,0.01388888888888884,0.0,0.9744631136445264,0.24708800063335382
2,3,0.012962962962962954,0.48896217643596607,0.6831365272577663,0.29626541666417383
2,4,0.013425925925925952,0.44548190391364206,0.40344482872388177,0.21558816464086245
2,5,0.01666666666666672,0.41187042785672423,0.4390127507769894,0.2168874613250951
3,3,0.010648148148148184,0.0,0.9916091057804048,0.25056431348213826
3,4,0.014814814814814836,0.4544127732573028,0.6976829770749828,0.2917276412867751
3,5,0.015277777777777724,0.41452515288780645,0.6947187137434669,0.2811304111022628
4,4,0.014814814814814836,0.0,0.977215945408845,0.24800769005591497
4,5,0.01388888888888884,0.4791240465012063,0.9151102089562752,0.35203078608659255
5,5,0.012962962962962954,0.0,0.9750581375275004,0.24700527512261583
