exp_name,timestamp,client_idx,global_round,epoch,batch_idx,acc,loss,comm_time,comp_time,comp_time_client,comp_time_server,cut1,cut2,t_front,t_middle,t_back,smashed1_numel,smashed2_numel
ham18_static_usfl,2025-12-21T17:10:26,0,1,1,0,0.0,2.3386945724487305,0.036583505765158515,2.8576175961643457,2.8576175961643457,0.0,3,3,0.21657012309879065,0.0,0.06919163651764393,0.0,0.0
ham18_static_usfl,2025-12-21T17:10:26,0,2,1,1,0.06640625,2.142148733139038,0.03704600587233997,0.029763858765363693,0.029763858765363693,0.0,3,3,0.00217373576015234,0.0,0.0008026501163840294,0.0,0.0
ham18_static_usfl,2025-12-21T17:10:26,0,3,1,2,0.21428571428571427,1.8761727809906006,0.03545196389126386,0.27952187694609165,0.27952187694609165,0.0,3,3,0.015132016502320766,0.0,0.012820171192288399,0.0,0.0
ham18_static_usfl,2025-12-21T17:10:28,1,1,1,0,0.13709677419354838,1.8949075937271118,0.013300130191017044,0.18846392631530762,0.18846392631530762,0.0,3,3,0.014798124320805073,0.0,0.004048268310725689,0.0,0.0
ham18_static_usfl,2025-12-21T17:10:31,2,1,1,0,0.0234375,1.9193998575210571,0.03448523476199951,0.19374976865947247,0.19374976865947247,0.0,3,3,0.016387508250772953,0.0,0.0029874686151742935,0.0,0.0
ham18_static_usfl,2025-12-21T17:10:31,2,2,1,1,0.34375,1.5915895700454712,0.033636203293814844,0.03348701633512974,0.03348701633512974,0.0,3,3,0.0024905605241656303,0.0,0.0008581411093473434,0.0,0.0
ham18_static_usfl,2025-12-21T17:10:31,2,3,1,2,0.51171875,1.4783940315246582,0.037967953174558415,0.029073115438222885,0.029073115438222885,0.0,3,3,0.0021636663004755974,0.0,0.0007436452433466911,0.0,0.0
ham18_static_usfl,2025-12-21T17:10:31,2,4,1,3,0.62109375,1.2416152954101562,0.03709676781380275,0.028185462579131126,0.028185462579131126,0.0,3,3,0.0020783254876732826,0.0,0.00074022077023983,0.0,0.0
ham18_static_usfl,2025-12-21T17:10:33,2,5,1,4,0.625,1.2211647033691406,0.038142573144070324,0.04707746207714081,0.04707746207714081,0.0,3,3,0.0034695258364081383,0.0,0.0012382203713059425,0.0,0.0
ham18_static_usfl,2025-12-21T17:10:33,2,6,1,5,0.66796875,1.0498672723770142,0.03929150605781039,0.03607229329645634,0.03607229329645634,0.0,3,3,0.0025585973635315895,0.0,0.0010486319661140442,0.0,0.0
ham18_static_usfl,2025-12-21T17:10:33,2,7,1,6,0.71875,0.9630324840545654,0.04006456610636829,0.028349878266453743,0.028349878266453743,0.0,3,3,0.0020924294367432594,0.0,0.0007425583899021149,0.0,0.0
