cut1,cut2,acc_final,acc_cost,comm_total,comm_cost,comp_total,comp_cost,comp_client_total,comp_cost_client,comp_server_total,comp_cost_server,privacy_score_global,privacy_score_label,privacy_score_sample,privacy_cost,J
0,0,0.9861111111111112,0.01388888888888884,0.0,0.0,45.92180332168937,1.0,45.92180332168937,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2534722222222222
0,1,1.0,0.0,8354.286399999999,1.0,31.92823931435123,0.6095792932737752,31.141625442542136,0.5945611294678804,0.7866138718090951,0.015018163805894774,0.3909691726223808,0.2975,0.4844383452447616,0.3909691726223808,0.500137116474039
0,2,0.9930555555555556,0.00694444444444442,6266.964800000004,0.7501496237907291,24.25602017203346,0.395524230665607,22.618986992165446,0.36883039200414747,1.6370331798680127,0.02669383866145949,0.339423422870289,0.34,0.33884684574057794,0.339423422870289,0.3730104304427674
0,3,0.9861111111111112,0.01388888888888884,5223.3040000000055,0.6252244356860935,17.469377513043582,0.20617676908743326,14.922907962463796,0.1761228725404007,2.5464695505797863,0.030053896547032544,0.4469498224354397,0.5025,0.39139964487087947,0.4469498224354397,0.3230599790244638
0,4,0.9861111111111112,0.01388888888888884,4701.473600000006,0.5627618416337757,10.520749953575432,0.012309925649817505,7.2627923265099525,0.008497914496962158,3.2579576270654798,0.003812011152855347,0.6610103113304172,1.0,0.3220206226608345,0.6610103113304172,0.31249274187572484
0,5,0.9930555555555556,0.00694444444444442,4190.292799999999,0.5015739943988513,10.079534286633134,0.0,6.812844425439835,0.0,3.2666898611932993,0.0,0.7201654250472362,1.0,0.44033085009447237,0.7201654250472362,0.307170965972633
1,1,1.0,0.0,0.0,0.0,40.78292709775269,0.856625253861286,40.78292709775269,0.856625253861286,0.0,0.0,0.0,0.0,0.0,0.0,0.2141563134653215
1,2,0.9791666666666666,0.02083333333333337,6266.964800000004,0.7501496237907291,31.82437317771837,0.6066814260508249,30.929138157516718,0.5896151839076225,0.8952350202016532,0.01706624214320242,0.40995480641675863,0.45,0.36990961283351725,0.40995480641675863,0.4469047973979115
1,3,0.9791666666666666,0.02083333333333337,5223.3040000000055,0.6252244356860935,24.970774196088314,0.4154658817746865,23.350825808010995,0.3885130416185549,1.6199483880773187,0.026952840156131655,0.38516236471816867,0.465,0.3053247294363373,0.38516236471816867,0.36167150387807057
1,4,0.9861111111111112,0.01388888888888884,4701.473600000006,0.5627618416337757,16.622344855684787,0.1825445415482019,14.358393619768322,0.1576821082371448,2.2639512359164655,0.024862433311057114,0.6614689564678262,1.0,0.32293791293565244,0.6614689564678262,0.3551660571346732
1,5,0.9930555555555556,0.00694444444444442,4190.292799999999,0.5015739943988513,16.215182685293257,0.17118470911144137,13.882877929136157,0.14656242029787792,2.3323047561571,0.02462228881356348,0.6792607301548079,1.0,0.3585214603096159,0.6792607301548079,0.33974096952738625
2,2,1.0,0.0,0.0,0.0,38.68296641390771,0.798036310125858,38.68296641390771,0.798036310125858,0.0,0.0,0.0,0.0,0.0,0.0,0.1995090775314645
2,3,1.0,0.0,3135.9824000000003,0.37537405947682145,32.16909832088277,0.6162992642191404,31.407702462747693,0.6017123553021586,0.7613958581350744,0.014586908916981745,0.47133630170259777,0.565,0.37767260340519554,0.47133630170259777,0.3657524063496399
2,4,0.9861111111111112,0.01388888888888884,2614.151999999999,0.31291146542450343,25.446172576397657,0.4287295057892368,23.928010179661214,0.4031507665070731,1.518162396736443,0.025578739282163664,0.6795328746335338,1.0,0.3590657492670676,0.6795328746335338,0.3587656836840407
2,5,0.8263888888888888,0.17361111111111116,2102.9712000000013,0.2517236181895801,24.865460876375437,0.4125276381157855,23.240558612160385,0.38556987945777116,1.6249022642150521,0.026957758658014367,0.6781412201918311,1.0,0.35628244038366214,0.6781412201918311,0.37900089690207694
3,3,0.9583333333333334,0.04166666666666663,0.0,0.0,40.65947132650763,0.8531808354533913,40.65947132650763,0.8531808354533913,0.0,0.0,0.0,0.0,0.0,0.0,0.22371187553001448
3,4,1.0,0.0,1570.4911999999981,0.18798627731986758,35.235723664518446,0.7018581706777773,34.43234068341553,0.6858556354428236,0.8033829811029136,0.016002535234953756,0.6862855183116708,1.0,0.3725710366233416,0.6862855183116708,0.39403249157732895
3,5,0.9444444444444444,0.05555555555555558,1059.3104000000017,0.1267984300849444,33.46735791768879,0.6525207321048992,32.66403182409704,0.6368580995182855,0.8033260935917497,0.015662632586613726,0.6884113772748546,1.0,0.37682275454970904,0.6884113772748546,0.38082152375506345
4,4,1.0,0.0,0.0,0.0,43.23886107187718,0.9251458592873102,43.23886107187718,0.9251458592873102,0.0,0.0,0.0,0.0,0.0,0.0,0.23128646482182755
4,5,1.0,0.0,537.4799999999997,0.06433583603262628,42.706572317983955,0.9102949927483471,42.64782852958888,0.9090428628411996,0.05874378839507699,0.0012521299071475422,0.6684795431240866,1.0,0.33695908624817317,0.6684795431240866,0.41077759297626504
5,5,1.0,0.0,0.0,0.0,41.089811474084854,0.8651873339023685,41.089811474084854,0.8651873339023685,0.0,0.0,0.0,0.0,0.0,0.0,0.21629683347559212
