cut1,cut2,acc_cost,privacy_cost,comp_cost_client,static_cost
0,0,0.01388888888888884,0.0,1.0,0.2534722222222222
0,1,0.0,0.5737179186263605,0.5216087824898158,0.27383167527904406
0,2,0.0,0.4782746261409944,0.3106699051502679,0.19723613282281557
0,3,0.02083333333333337,0.485311933736801,0.1348310163045329,0.1602440708436668
0,4,0.0,0.384770533245234,0.009538557383712775,0.0985772726572367
0,5,0.0,0.4101595780802699,0.0,0.10253989452006748
1,1,0.0,0.0,0.8049940443755238,0.20124851109388095
1,2,0.02777777777777779,0.4356613304606519,0.5717303277140551,0.2587923589881212
1,3,0.01388888888888884,0.4913525462431856,0.3595455285265936,0.216196740914667
1,4,0.00694444444444442,0.46757011236484025,0.2054323292897224,0.16998672152475178
1,5,0.00694444444444442,0.4142682807209913,0.18704068522307868,0.1520633525971286
2,2,0.02083333333333337,0.0,0.7568330132599362,0.1944165866483174
2,3,0.0,0.4468579375772422,0.5490772787693778,0.248983804086655
2,4,0.0,0.5038796354626361,0.3836414691809143,0.22188027616088762
2,5,0.0,0.4856254781561989,0.36481909533928036,0.21261114337386983
3,3,0.13194444444444442,0.0,0.7836183793867086,0.22889070595778827
3,4,0.0,0.4560037447437689,0.5564743142784542,0.2531195147555558
3,5,0.00694444444444442,0.4800170875488249,0.587510961332613,0.2686181233314706
4,4,0.00694444444444442,0.0,0.7703454146668492,0.19432246477782342
4,5,0.00694444444444442,0.3839105286953943,0.7693525050217918,0.2900518695404076
5,5,0.01388888888888884,0.0,0.7793349138110199,0.1983059506749772
